baseline,rolling_average,triangular,weibull
73.0,63.263512076343076,72.71184356718625,85.2
73.0,65.48535961557623,71.97456773948278,58.5
73.0,65.90739005437031,73.40581561255775,53.4
73.0,71.87886145464213,78.27167566160604,89.2
73.0,74.37739691172348,72.37375601969666,67.9
73.0,75.86725499530141,67.81208454685434,84.9
73.0,70.89869346824231,73.07473445402451,64.3
73.0,73.11223214934414,73.67200858125358,75.6
73.0,72.18794581666404,64.9834053352225,80.1
73.0,69.14721189518554,81.16104405328332,74.3
73.0,75.14745602224426,81.68591350312178,64.0
73.0,72.63652455788427,67.41195105146117,73.0
73.0,74.05448980441241,66.92748200350286,57.0
73.0,69.6731090028496,76.8816871843976,61.9
73.0,70.10447730674547,71.20276177438765,65.2
73.0,68.27249806018673,71.37338762962361,69.6
73.0,70.46782273314099,75.48075880325146,79.0
73.0,70.74943409734644,73.84930161493656,79.7
73.0,73.59230801723197,62.87730104319812,56.2
73.0,77.39321448713366,71.61149188281482,61.8
73.0,74.47940088605122,84.23011493652653,64.7
73.0,77.31648930515613,69.64147326048554,69.1
73.0,74.64160774760549,70.27595768838816,57.8
84.0,77.32905097112597,86.30666660990008,76.5
84.0,80.01407530987186,82.8122675694106,94.1
84.0,77.63102592056407,85.37218696195174,98.5
84.0,81.11425500152578,78.43301240039074,86.3
84.0,82.5713034750495,81.4556628819982,94.9
84.0,78.9846118730612,85.10275478218209,76.3
84.0,86.0801539724504,91.20081282232175,80.2
84.0,88.07935713297645,83.8413057792811,90.7
84.0,85.00334968018707,80.0264946025669,79.1
84.0,86.47025444309364,74.70248075562037,74.8
84.0,81.75027418786398,78.34374266078666,72.2
84.0,82.46595830849965,91.20473909276907,81.9
84.0,82.2713772613353,84.45803309461874,75.3
84.0,82.06776577899944,81.25530307185282,88.1
84.0,79.60130340590429,81.10293559008372,97.0
84.0,80.83332385888335,76.17029057097652,98.8
84.0,83.10646140245758,77.14073101033951,75.7
84.0,82.26975192644542,75.60283923250978,74.0
84.0,82.34020037832391,79.13334948320806,79.2
84.0,81.32946030491024,87.86039424635722,76.2
84.0,84.89088371154207,89.77012030853193,91.9
84.0,82.81080125476916,83.65115919676485,81.6
84.0,85.86292455664082,82.8974468849027,78.6
84.0,86.55589884199114,89.00901018716527,73.0
45.0,67.12462672381207,39.479511721277746,74.6
45.0,55.761992265505086,29.77629307380802,57.5
45.0,54.37198380472904,35.27563366417677,70.9
45.0,53.33702151035996,29.563549481710314,43.4
45.0,45.53681403085835,39.38111099481103,37.2
45.0,45.825278343021935,48.53865276288508,67.0
45.0,46.83152451051056,67.1841211420324,56.3
45.0,43.812740948543826,35.903431133890344,64.2
45.0,41.09097356411318,46.45906137432202,50.5
45.0,45.18982164438538,64.04819223424464,69.6
45.0,42.106617720922074,61.27657077805901,58.4
45.0,45.624297494892346,61.080321929794444,58.2
45.0,44.233353548653454,38.476568409370934,68.3
45.0,47.79705753794478,55.32434174824131,43.6
45.0,49.47460152405664,32.48767150027229,55.4
45.0,48.99137419817535,27.81142117408382,52.3
45.0,45.4010922698038,53.42219013120569,68.1
45.0,43.5308515424899,30.86365505692021,40.8
45.0,42.84475084702285,69.79306313013306,34.6
45.0,42.5543679446462,57.29227535938996,33.4
45.0,44.13499821263753,26.241771519534943,67.7
45.0,45.745039073811995,57.26370134632461,78.4
45.0,48.913688541252796,35.21649830364562,43.1
45.0,44.47671155420134,56.1887998689967,74.4
72.0,61.02315483566218,38.35185994011249,73.7
72.0,72.26785020004051,57.25417939797659,67.0
72.0,72.60674542294166,69.34676109561741,96.2
72.0,66.57778647042096,86.64064008643561,34.9
72.0,73.59441843190352,68.86792266371882,69.2
72.0,73.27434166219612,33.57289971665446,64.1
72.0,67.91845169272995,110.85152882823088,91.2
72.0,74.83074111262721,83.29615621590095,77.5
72.0,69.80685218163009,66.23287676237808,62.7
72.0,66.98191892805997,72.81896522173162,44.1
72.0,74.05644900699087,64.58260621759754,90.0
72.0,69.77096295743483,58.27066616917855,81.3
72.0,74.24641757164409,66.22538180658438,89.0
72.0,75.15600039280436,85.72878388490409,28.7
72.0,72.7345676623286,84.57274568980625,114.1
72.0,77.052641918105,79.13359565216828,38.0
72.0,71.74002991154246,95.32465269560751,47.9
72.0,70.53080528279074,66.93476987063553,31.8
72.0,71.34647410642563,41.19956675797704,27.6
72.0,73.00025233821457,90.72807302053381,80.0
72.0,69.61245352203684,97.18620374536464,76.6
72.0,73.75201693720945,47.671645068597606,46.9
72.0,77.64902582764141,94.12480530652957,113.0
72.0,69.17352498072636,31.571497534228826,99.2
142.0,103.83397401978883,130.99885662546737,124.6
142.0,115.9429302488819,134.09484840581166,142.1
142.0,122.13038935699441,133.12329952148104,145.8
142.0,128.58046785586686,136.3915808859638,120.1
142.0,128.224738348752,136.35957445368268,123.1
142.0,127.7953495990026,144.17983290256916,132.2
142.0,134.88672268546293,139.60669018420873,134.2
142.0,143.38126357510623,141.79174885292858,123.5
142.0,144.1728383980871,147.30365913630047,128.3
142.0,144.76737166840707,138.2314990663461,124.8
142.0,135.95790710229113,141.92856746130022,149.7
142.0,144.50279893411368,131.46753311205674,130.5
142.0,144.30155284274502,143.81361502532744,120.7
142.0,143.82955559904275,148.13533674250408,128.9
142.0,137.84313889633398,144.67360431503914,123.9
142.0,137.8397608253061,127.14800289862052,134.9
142.0,134.11727184268796,146.28643200994568,122.6
142.0,135.61658560260645,141.73592621664085,127.1
142.0,138.67694811726824,127.75407341394566,137.2
142.0,141.37034500569604,143.89153529803795,137.8
142.0,144.80594726493192,140.33220102126313,122.6
142.0,143.14469375479123,142.4774229620873,124.0
142.0,139.3550525106656,142.8184985857572,145.8
142.0,147.74621326413234,132.91101431265892,142.0
120.0,131.4075036898595,135.48847978894622,106.7
120.0,132.8192035669375,118.6003471759189,97.5
120.0,118.98040133420696,110.60095568140459,135.9
120.0,116.0385190876426,100.76945433871876,95.3
120.0,118.28377101035693,114.7714045512291,130.7
120.0,120.69476809653354,137.48737326381558,112.8
120.0,126.14810919447308,104.65256232059482,139.6
120.0,120.27110246920465,105.84798387439442,90.7
120.0,120.26010743269111,117.7377158769776,91.5
120.0,125.32494593851412,102.14194229758876,100.7
120.0,129.70298227057856,118.02839072608448,114.5
120.0,119.11066786386765,110.61494253269717,143.3
120.0,123.21903006414203,124.63561195026419,104.9
120.0,116.7712778129096,134.05962871835254,105.1
120.0,116.31700822921434,123.76832982636887,148.0
120.0,116.03395846668505,148.4638885339134,95.9
120.0,119.72439707269363,111.60112607273031,109.7
120.0,115.99870451893983,109.57160690201174,144.4
120.0,122.26025059400222,107.11882967309526,98.8
120.0,128.20145602039707,119.87919862335028,139.9
