T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
125,0,40,7509.299805,0,-42441.30078,49,0
126,5.036942,31.588306,4407.676758,50.369423,-45543.00781,13.963058,0
127,16,4.868307,4177.75,160,-45773.20313,0,0
128,0,35.149998,17351.30078,0,-32599.34766,0,0
129,0,75.149994,19211.38086,0,-30738.86719,0,9.200002
130,34.999996,16.699999,13886.85059,349.999969,-36063.98438,0.000002,0
131,10,0,8207.799805,99.999992,-41743.19922,0,0
132,0,0.704225,3646.100098,0,-46304.89453,0,0
133,0,11.267606,6394.75,0,-43556.13672,0,0
134,0,21.12676,10964.29981,0,-38986.48828,0,0
135,12.650755,0,617.895386,126.507553,-49333.10547,66.349243,0
136,0,0,12266.19922,0,-37684.80078,33,0
137,0,40,25346.53906,0,-24604.06055,0,22.200003
138,0,80,29948.18945,0,-20002.01172,0,23.200003
139,34,23.220001,15870.54981,340,-34080.21875,0,0
140,0,33.783382,16332.05078,0,-33618.61328,0,0
141,9,18.753384,12459.60059,90,-37491.21094,0,0
142,0,49.7393,12621.75,0,-37328.75391,0,0
143,0,49.7393,21044.59961,0,-28905.90234,73,0
144,0,49.7393,10247,0,-39703.50391,14,0
145,29.784012,0,49557.04297,297.840118,-393.958466,49.215988,0
146,15.799998,13.614003,52392.69922,157.999985,2441.834961,0,0
147,9.799998,37.248005,20142.29883,97.999985,-29808.32813,0,0
148,0,77.248001,40657.6875,0,-9292.540039,0,59.200001
149,40,10.448003,14238.40039,400,-35712.49609,3,0
150,0,23.828285,4430.450195,0,-45520.3125,0,0
151,0,39.321243,25057.25,0,-24893.35742,0,0
152,0,72.419838,12844,0,-37106.27734,0,0
153,28,25.65984,8012.200195,280,-41938.54297,0,0
154,0,65.659836,23281.58984,0,-26668.75195,0,4.200002
155,0,100.871101,33170.75,0,-16779.24219,0,0
156,0,117.068283,15024.5,0,-34925.32813,0,0
157,0,117.068283,70857.05469,0,20907.22266,85,0
158,0,129.040115,33923.25,0,-16026.45996,0,0
159,0,169.040115,104208.5859,0,54259.27344,0,103.200005
160,13,147.330109,39588,130,-10361.52637,0,0
161,0,154.37236,28529.14844,0,-21420.30664,0,0
162,40,87.572365,47919.69922,400,-2030.425903,45,0
163,0,127.572365,84797.14063,0,34847.41797,0,121.200005
164,38.4991,63.27887,73740.32031,384.990997,23789.94922,2.500901,0
165,0,66.799995,18918.69922,0,-31031.63281,0,0
166,0,66.799995,6984.25,0,-42966.08203,26,0
167,0,66.799995,9299.550781,0,-40650.78125,0,0
168,0,66.799995,12826.65039,0,-37123.68359,8,0
169,40,0,89773.99219,399.999969,39822.99609,103,0
170,0,0,178581.7969,0,128630.7969,59,0
171,0,0,173778.0469,0,123827.0547,0,0
