rolling_average,triangular,weibull
55.742352083046654,48.51645995907137,51.7
56.2546981701704,57.03519216046917,51.7
53.59299709650358,46.03302386254338,60.4
52.9933490941241,60.96643352434162,41.2
57.604443393212065,62.71482996901415,69.2
56.12127319061774,67.58176321567042,41.9
53.09774935426006,46.0505299503655,61.7
64.45020164293011,74.50637549503509,83.4
71.3202959824622,79.0358316432987,71.9
72.7848209311724,71.36289534724408,55.9
71.80903030963398,58.99155006190885,81.6
71.2340573123812,80.61453381968138,55.8
71.37680230898235,69.00230540084584,67.1
69.67319803328792,76.92349395102644,82.1
72.1848335136219,67.74530343008075,83.6
76.58565335993259,62.28823900598116,87.2
77.2002160487064,74.14905707780893,58.5
74.84808923322717,79.83155895775813,52.7
74.6826181536926,80.07856910846978,65.9
73.24002349309995,64.01293501089039,74.4
69.18636944353608,68.52883182906879,80.6
69.108780720526,78.45508536918754,55.0
74.71635497353546,67.15362109895202,74.5
74.46218283159584,69.5818155149268,69.5
69.72938934276485,80.63882536892999,85.2
72.55254404571957,82.51869260545288,52.6
76.19653020341568,58.445936765478216,55.5
70.51803893492189,65.49122255252712,55.7
71.47232377685846,71.35581188414442,57.0
73.33876600461966,71.35000166075406,67.1
76.75702937210133,71.37978992157083,51.7
78.12050315732193,82.89093660326404,73.7
77.8785406149992,79.25393043177225,98.5
77.29659133504359,86.31963580574062,96.3
76.93862889169306,92.2799080815897,92.0
81.59357641109173,79.51577398398693,78.8
82.26727370901655,82.66113077961862,85.5
86.72108739794288,90.60004226789223,98.3
88.47303490594484,97.13625325039226,95.3
90.47861231020453,81.45612631284843,89.4
92.00471413264367,95.15145372494271,85.3
89.51108350406024,84.44908848544063,70.5
82.69109952079114,85.33478160780338,75.9
86.3554967601585,86.48569750815197,92.1
83.18808027953634,72.25462280578078,77.9
84.97127211289066,84.49129123997481,74.6
82.26168797821938,86.19686055740603,80.6
86.13683145660967,88.79083170898866,79.1
87.2356652596929,83.61107215075833,87.8
88.98174334774221,83.3591516408358,95.7
87.97617035440746,77.62693988492734,77.3
82.8159599724174,79.31607531401504,71.6
79.81911029423955,84.11955471804607,83.3
83.26323877101484,79.20966723853422,90.9
79.21098262607285,95.09656124230406,81.3
62.37356072007083,49.332301400064765,69.2
55.15987707240137,34.252078495495596,67.5
52.880865536101695,46.09997970033822,29.7
52.41624180884893,26.717337689712814,45.3
44.93529177868152,50.372539655004175,48.1
45.06576990651453,31.72867073159751,30.0
47.95431021513067,50.115952706243476,37.9
42.50534379444163,26.1099655539264,37.5
44.43776135747423,62.899708019802915,69.5
43.076573545216036,67.72550521897435,70.6
47.614434949982034,45.45272171917231,35.2
42.787391911529156,52.36341247798384,64.2
42.50088347260767,56.75818656577203,51.1
41.14595109257004,52.06409014108491,34.2
44.44880269916252,42.83346411632945,71.6
40.931618071962205,40.6329312927319,68.4
43.087611830438085,70.04135100531856,77.1
45.20992187489773,26.45461178220711,33.4
42.37364040145867,32.44286859648203,45.6
40.245081294032616,38.03781931822285,59.4
43.59980220055659,49.67199817804219,22.1
46.954825894428666,56.09434419656685,71.4
43.25430117224883,40.588113012364204,79.3
48.06233363803009,46.88438800785518,59.1
56.81188441580413,62.02635150354747,74.3
70.19570711445718,23.12699626730391,91.9
73.35252907772929,80.45373564248055,81.2
75.46035424116367,95.8589938804664,94.1
74.59760006242652,62.635738800558116,84.6
69.52699078980004,63.950433788753955,99.1
70.18677481705518,84.51357656755127,79.4
73.4516795730466,78.06024557703967,51.6
