,Electricity_price
224,33.14499999999998
225,27.21749999999998
226,21.289999999999978
227,27.21749999999998
228,33.14499999999998
229,39.072499999999984
230,44.999999999999986
231,44.999999999999986
232,44.999999999999986
233,44.999999999999986
234,44.999999999999986
235,44.999999999999986
236,44.999999999999986
237,44.999999999999986
238,44.999999999999986
239,44.999999999999986
240,44.999999999999986
241,44.999999999999986
242,44.999999999999986
243,37.392499999999984
244,29.784999999999982
245,22.17749999999998
246,14.569999999999979
247,23.42749999999998
248,32.28499999999998
249,41.142499999999984
250,49.999999999999986
251,49.999999999999986
252,49.999999999999986
253,49.999999999999986
254,49.999999999999986
255,49.999999999999986
256,49.999999999999986
257,49.999999999999986
258,49.999999999999986
259,49.999999999999986
260,49.999999999999986
261,49.999999999999986
262,49.999999999999986
263,49.999999999999986
264,49.999999999999986
265,49.999999999999986
266,49.999999999999986
267,49.407499999999985
268,48.81499999999998
269,48.22249999999998
270,47.62999999999998
271,47.60499999999998
272,47.579999999999984
273,47.554999999999986
274,47.52999999999999
275,46.89749999999999
276,46.264999999999986
277,45.632499999999986
278,44.999999999999986
279,42.74749999999999
280,40.49499999999999
281,38.24249999999999
282,35.989999999999995
283,38.24249999999999
284,40.49499999999999
285,42.74749999999999
286,44.999999999999986
287,44.999999999999986
288,44.999999999999986
289,44.999999999999986
290,44.999999999999986
291,44.999999999999986
292,44.999999999999986
293,44.999999999999986
294,44.999999999999986
295,44.999999999999986
296,44.999999999999986
297,44.999999999999986
298,44.999999999999986
299,34.874999999999986
300,24.749999999999986
301,14.624999999999986
302,4.499999999999986
303,14.624999999999986
304,24.749999999999986
305,34.874999999999986
306,44.999999999999986
307,38.76999999999998
308,32.53999999999998
309,26.309999999999974
310,20.079999999999973
311,20.164999999999974
312,20.249999999999975
313,20.334999999999976
314,20.419999999999977
315,22.294999999999977
316,24.169999999999977
317,26.044999999999977
318,27.919999999999977
319,32.18999999999997
320,36.459999999999965
321,40.72999999999996
322,44.99999999999996
323,42.259999999999955
324,39.51999999999995
325,36.77999999999995
326,34.03999999999995
327,36.77999999999995
